台灣頻道,#genre#
CLASSICA 古典樂,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv059/index.m3u8?proxy=true
CNBC Asia 財經台,http://230taiwan.pendy.dpdns.org/4gtv-live130/index.m3u8?proxy=true
DreamWorks,http://230taiwan.pendy.dpdns.org/4gtv-live017/index.m3u8?proxy=true
DW德國之聲,http://230taiwan.pendy.dpdns.org/4gtv-live071/index.m3u8?proxy=true

ELTA娛樂,http://230taiwan.pendy.dpdns.org/4gtv-4gtv070/index.m3u8?proxy=true
ELTA娛樂,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv070/index.m3u8?proxy=true
ELTV生活英語台,http://230taiwan.pendy.dpdns.org/li-litv-longturn20/index.m3u8?proxy=true
ELTV生活英語台,http://230taiwan.pendy.dpdns.org/litv-longturn20/index.m3u8?proxy=true
ELTV生活英語台,http://230taiwan.pendy.dpdns.org/of-litv-longturn20/index.m3u8?proxy=true
FRANCE24 英文台,http://230taiwan.pendy.dpdns.org/4gtv-live146/index.m3u8?proxy=true
FUN 4K探索娛樂,http://230taiwan.pendy.dpdns.org/4gtv-live011/index.m3u8?proxy=true
GINX Esports TV,http://230taiwan.pendy.dpdns.org/4gtv-4gtv053/index.m3u8?proxy=true
GINX Esports TV,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv053/index.m3u8?proxy=true
Global Trekker,http://230taiwan.pendy.dpdns.org/4gtv-live112/index.m3u8?proxy=true
HITS,http://230taiwan.pendy.dpdns.org/4gtv-live620/index.m3u8?proxy=true
INULTRA,http://230taiwan.pendy.dpdns.org/4gtv-live096/index.m3u8?proxy=true
Lifetime,http://230taiwan.pendy.dpdns.org/4gtv-live029/index.m3u8?proxy=true
LiveABC 互動英語台,http://230taiwan.pendy.dpdns.org/4gtv-live030/index.m3u8?proxy=true
LOVE NATURE,http://230taiwan.pendy.dpdns.org/4gtv-live208/index.m3u8?proxy=true
LUXE TV,http://230taiwan.pendy.dpdns.org/4gtv-live121/index.m3u8?proxy=true
MagellanTV頻道,http://230taiwan.pendy.dpdns.org/4gtv-live123/index.m3u8?proxy=true
MEZZO LIVE HD,http://230taiwan.pendy.dpdns.org/4gtv-4gtv083/index.m3u8?proxy=true
MEZZO LIVE HD,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv083/index.m3u8?proxy=true
MOMO親子,http://230taiwan.pendy.dpdns.org/4gtv-live107/index.m3u8?proxy=true
MTV Live,http://230taiwan.pendy.dpdns.org/4gtv-live025/index.m3u8?proxy=true
Nick Jr.,http://230taiwan.pendy.dpdns.org/4gtv-live032/index.m3u8?proxy=true
Nickelodeon,http://230taiwan.pendy.dpdns.org/4gtv-live105/index.m3u8?proxy=true
Pet Club TV,http://230taiwan.pendy.dpdns.org/4gtv-live110/index.m3u8?proxy=true
ROCK Action,http://230taiwan.pendy.dpdns.org/4gtv-live138/index.m3u8?proxy=true
ROCK Entertainment,http://230taiwan.pendy.dpdns.org/4gtv-live080/index.m3u8?proxy=true
SBN 全球財經台,http://230taiwan.pendy.dpdns.org/4gtv-live060/index.m3u8?proxy=true

TRACE Sport Stars,http://230taiwan.pendy.dpdns.org/4gtv-4gtv077/index.m3u8?proxy=true
TRACE Sport Stars,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv077/index.m3u8?proxy=true
Trace Urban,http://230taiwan.pendy.dpdns.org/4gtv-4gtv082/index.m3u8?proxy=true
Trace Urban,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv082/index.m3u8?proxy=true
TV5MONDE Style,http://230taiwan.pendy.dpdns.org/4gtv-live122/index.m3u8?proxy=true

VOA 美國之音,http://230taiwan.pendy.dpdns.org/li-litv-ftv03/index.m3u8?proxy=true
VOA 美國之音,http://230taiwan.pendy.dpdns.org/litv-ftv03/index.m3u8?proxy=true
人間衛視,http://230taiwan.pendy.dpdns.org/4gtv-live008/index.m3u8?proxy=true

三立綜合合,http://230taiwan.pendy.dpdns.org/4gtv-live207/index.m3u8?proxy=true
大愛二台,http://230taiwan.pendy.dpdns.org/4gtv-live106/index.m3u8?proxy=true
大愛電視,http://230taiwan.pendy.dpdns.org/4gtv-live007/index.m3u8?proxy=true
中天亞洲台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv109/index.m3u8?proxy=true
公視戲劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv042/index.m3u8?proxy=true
公視戲劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv042/index.m3u8?proxy=true
半島國際新聞台,http://230taiwan.pendy.dpdns.org/li-litv-ftv10/index.m3u8?proxy=true
半島國際新聞台,http://230taiwan.pendy.dpdns.org/litv-ftv10/index.m3u8?proxy=true
台視財經台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv056/index.m3u8?proxy=true
台灣戲劇台,http://230taiwan.pendy.dpdns.org/li-litv-longturn22/index.m3u8?proxy=true
台灣戲劇台,http://230taiwan.pendy.dpdns.org/litv-longturn22/index.m3u8?proxy=true
好消息,http://230taiwan.pendy.dpdns.org/li-litv-ftv16/index.m3u8?proxy=true
好消息,http://230taiwan.pendy.dpdns.org/litv-ftv16/index.m3u8?proxy=true
好消息,http://230taiwan.pendy.dpdns.org/of-litv-ftv16/index.m3u8?proxy=true
好消息2台,http://230taiwan.pendy.dpdns.org/li-litv-ftv17/index.m3u8?proxy=true
好消息2台,http://230taiwan.pendy.dpdns.org/litv-ftv17/index.m3u8?proxy=true
好消息2台,http://230taiwan.pendy.dpdns.org/of-litv-ftv17/index.m3u8?proxy=true
車迷 TV,http://230taiwan.pendy.dpdns.org/4gtv-live201/index.m3u8?proxy=true
幸福空間居家台,http://230taiwan.pendy.dpdns.org/4gtv-live206/index.m3u8?proxy=true
東森購物一台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv102/index.m3u8?proxy=true
東森購物一台,http://230taiwan.pendy.dpdns.org/4gtv-live047/index.m3u8?proxy=true
東森購物一台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv102/index.m3u8?proxy=true
東森購物二台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv103/index.m3u8?proxy=true
東森購物二台,http://230taiwan.pendy.dpdns.org/4gtv-live046/index.m3u8?proxy=true
東森購物二台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv103/index.m3u8?proxy=true
東森購物三台,http://230taiwan.pendy.dpdns.org/4gtv-live048/index.m3u8?proxy=true
東森購物四台,http://230taiwan.pendy.dpdns.org/4gtv-live049/index.m3u8?proxy=true
采昌影劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv049/index.m3u8?proxy=true
采昌影劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv049/index.m3u8?proxy=true
金光布袋戲,http://230taiwan.pendy.dpdns.org/4gtv-live144/index.m3u8?proxy=true
非凡商業,http://230taiwan.pendy.dpdns.org/4gtv-4gtv048/index.m3u8?proxy=true
客家電視,http://230taiwan.pendy.dpdns.org/4gtv-4gtv043/index.m3u8?proxy=true
客家電視,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv043/index.m3u8?proxy=true
