4gtv+litv,#genre#
民視綜藝,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv004/index.m3u8?proxy=true
民視綜藝,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv004/index.m3u8?proxy=true
民視影劇,http://tw-ty-line1-4-7.sudatech.store:21138/li-litv-ftv09/index.m3u8?proxy=true
民視影劇,http://tw-ty-line1-4-7.sudatech.store:21138/litv-ftv09/index.m3u8?proxy=true
視納華仁紀實頻道,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv013/index.m3u8?proxy=true
視納華仁紀實頻道,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv013/index.m3u8?proxy=true
達文西,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv018/index.m3u8?proxy=true
達文西,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv018/index.m3u8?proxy=true
影迷數位紀實台,http://tw-ty-line1-4-7.sudatech.store:21138/li-litv-ftv15/index.m3u8?proxy=true
影迷數位紀實台,http://tw-ty-line1-4-7.sudatech.store:21138/litv-ftv15/index.m3u8?proxy=true
歐洲光影,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-live157/index.m3u8?proxy=true
寰宇財經,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv158/index.m3u8?proxy=true
寰宇財經,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv158/index.m3u8?proxy=true
寰宇財經,http://tw-ty-line1-4-7.sudatech.store:21138/of-4gtv-4gtv158/index.m3u8?proxy=true
戲劇免費看1台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-live010/index.m3u8?proxy=true
韓國娛樂台,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv016/index.m3u8?proxy=true
韓國娛樂台,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv016/index.m3u8?proxy=true
