香港,#genre#
纪录频道|Animal Planet (Eng),https://live.catvod.com/smart.php?id=AnimalPlanet
纪录频道|TLC,https://live.catvod.com/smart.php?id=Tlc
纪录频道|Foodnetwork Hd,https://live.catvod.com/smart.php?id=Foodnetwork
纪录频道|HGTV,https://live.catvod.com/smart.php?id=HGTV
纪录频道|AFC 亚洲旅游台,https://live.catvod.com/smart.php?id=asiatravel_twn

新闻,#genre#
新闻频道|Skynews,https://live.catvod.com/smart.php?id=skynews_twn
新闻频道|ABC News,https://live.catvod.com/smart.php?id=abcnews_glo
新闻频道|东森财经新闻 ETTV Business,https://live.catvod.com/smart.php?id=ettvcaijing_twn
新闻频道|CBS HD,https://live.catvod.com/smart.php?id=cbshd_glo
新闻频道|CBSN HD,https://live.catvod.com/smart.php?id=cbsn_glo
新闻频道|France 24,https://live.catvod.com/smart.php?id=france24_twn
新闻频道|DW (Deutsch),https://live.catvod.com/smart.php?id=dw_twn
新闻频道|NHK World,https://live.catvod.com/smart.php?id=nhkworld_japan
新闻频道|Fox News,https://live.catvod.com/smart.php?id=foxnews_twn
新闻频道|CGTN,https://live.catvod.com/smart.php?id=CGTN
新闻频道|CNN International,https://live.catvod.com/smart.php?id=Cnn
新闻频道|CNN backup,https://live.catvod.com/smart.php?id=cnn_twn
新闻频道|CNBC,https://live.catvod.com/smart.php?id=cnbc_twn
新闻频道|CNA,https://live.catvod.com/smart.php?id=cna
新闻频道|BBC World News,https://live.catvod.com/smart.php?id=bbcnews_twn
新闻频道|BBC World News,https://live.catvod.com/smart.php?id=Bbcnews
新闻频道|Bloomberg News,https://live.catvod.com/smart.php?id=bloomberg_twn
新闻频道|Al-Jazeera,https://live.catvod.com/smart.php?id=aljazeera_twn

儿童,#genre#
儿童频道|Baby TV Eng,https://live.catvod.com/smart.php?id=Babytv
儿童频道|CBeebies,https://live.catvod.com/smart.php?id=Cbeebies
儿童频道|Kids TV,https://live.catvod.com/smart.php?id=KidsTV
儿童频道|Momo TV,https://live.catvod.com/smart.php?id=momo1_twn
儿童频道|Animax,https://live.catvod.com/smart.php?id=Animax
儿童频道|Baby TV,https://live.catvod.com/smart.php?id=babytv_twn
儿童频道|MiaoMi,https://live.catvod.com/smart.php?id=MiaoMi
儿童频道|靖天卡通台,https://live.catvod.com/smart.php?id=jingtiancartoon_twn
儿童频道|东森幼幼 Yoyo TV,https://live.catvod.com/smart.php?id=yoyo_twn
儿童频道|Cartoon Network,https://live.catvod.com/smart.php?id=Cn
儿童频道|Nickelodeon,https://live.catvod.com/smart.php?id=Nickelodeon
儿童频道|Nick Jr,https://live.catvod.com/smart.php?id=Nickjr
