完整版litv,#genre#
89 非凡商業台,https://www.litv.tv/channel/watch/4gtv-4gtv048
90 台視財經,https://www.litv.tv/channel/watch/4gtv-4gtv056
91 寰宇財經台,https://www.litv.tv/channel/watch/4gtv-4gtv158
92 法眼黑與白,https://www.litv.tv/channel/watch/litv-vchannel92
93 宴遇永安,https://www.litv.tv/channel/watch/litv-vchannel93
94 豬哥壹級棒,https://www.litv.tv/channel/watch/litv-vchannel94
95 哈哈台,https://www.litv.tv/channel/watch/litv-vchannel95
96 有你的時光裡,https://www.litv.tv/channel/watch/litv-vchannel96
97 一字千金(1~5季),https://www.litv.tv/channel/watch/litv-vchannel97
98 我們這一家,https://www.litv.tv/channel/watch/litv-vchannel98
99 九九敬老頻道,https://www.litv.tv/channel/watch/litv-vchannel99
100 蠟筆小新台,https://www.litv.tv/channel/watch/litv-vchannel100
101 武媚娘傳奇,https://www.litv.tv/channel/watch/litv-vchannel101
102 豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006
103 短劇馬拉松,https://www.litv.tv/channel/watch/litv-vchannel103
104 長安的荔枝,https://www.litv.tv/channel/watch/litv-vchannel104
105 九重紫,https://www.litv.tv/channel/watch/litv-vchannel105
106 好運家,https://www.litv.tv/channel/watch/litv-vchannel106
107 黃金八點檔,https://www.litv.tv/channel/watch/litv-fast1225
108 好搭檔,https://www.litv.tv/channel/watch/litv-vchannel108
109 金庸武俠台,https://www.litv.tv/channel/watch/litv-vchannel109
110 倚天屠龍記 2019,https://www.litv.tv/channel/watch/litv-vchannel110
111 紳士與小姐(國語配音),https://www.litv.tv/channel/watch/litv-vchannel111
114 兩個女人的房間(國語配音),https://www.litv.tv/channel/watch/litv-vchannel114
115 只屬於我的你(國語配音),https://www.litv.tv/channel/watch/litv-vchannel115
118 媽媽要出嫁(國語配音)《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel118
119 白夜童話(國語配音),https://www.litv.tv/channel/watch/litv-vchannel119
121 天才衝衝衝,https://www.litv.tv/channel/watch/litv-vchannel121
122 歡迎光琳,https://www.litv.tv/channel/watch/litv-vchannel122
124 溢遊未盡,https://www.litv.tv/channel/watch/litv-vchannel124
125 綜藝大集合 精選,https://www.litv.tv/channel/watch/litv-vchannel125
126 民視異言堂,https://www.litv.tv/channel/watch/litv-vchannel126
127 新聞觀測站,https://www.litv.tv/channel/watch/litv-vchannel127
128 台灣最前線,https://www.litv.tv/channel/watch/litv-vchannel128
129 台灣向前行,https://www.litv.tv/channel/watch/litv-vchannel129
130 大大平評理,https://www.litv.tv/channel/watch/litv-vchannel130
131 政治琳龍SAY,https://www.litv.tv/channel/watch/litv-vchannel131
132 寰宇全視界,https://www.litv.tv/channel/watch/litv-vchannel132
133 頭條開講,https://www.litv.tv/channel/watch/litv-vchannel133
134 大新聞大爆卦,https://www.litv.tv/channel/watch/litv-vchannel134
136 環球大戰線,https://www.litv.tv/channel/watch/litv-vchannel136
137 鄉民大學問,https://www.litv.tv/channel/watch/litv-vchannel137
138 台灣戲劇台,https://www.litv.tv/channel/watch/litv-xinchuang22
139 視納華仁紀實頻道,https://www.litv.tv/channel/watch/4gtv-4gtv013
140 影迷數位紀實台,https://www.litv.tv/channel/watch/litv-ftv15
141 佳映娛樂,https://www.litv.tv/channel/watch/litv-vchannel141
142 Focus亞洲電影台,https://www.litv.tv/channel/watch/litv-vchannel142
143 華語電影台,https://www.litv.tv/channel/watch/litv-vchannel143
144 Focus精采戲劇台,https://www.litv.tv/channel/watch/litv-playout953
145 八大精彩台,https://www.litv.tv/channel/watch/4gtv-4gtv034
146 采昌影劇台,https://www.litv.tv/channel/watch/4gtv-4gtv049
147 靖天戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv058
148 靖天日本台,https://www.litv.tv/channel/watch/4gtv-4gtv047
149 靖天育樂台,https://www.litv.tv/channel/watch/4gtv-4gtv062
150 KLT-靖天國際台,https://www.litv.tv/channel/watch/4gtv-4gtv063
151 靖洋戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv045
152 靖天綜合台,https://www.litv.tv/channel/watch/4gtv-4gtv046
153 Nice TV靖天歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv054
154 靖天資訊台,https://www.litv.tv/channel/watch/4gtv-4gtv065
155 民視旅遊台,https://www.litv.tv/channel/watch/litv-ftv07
156 Smart知識台,https://www.litv.tv/channel/watch/litv-xinchuang19
157 愛爾達娛樂台,https://www.litv.tv/channel/watch/4gtv-4gtv070
160 八大綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv039
161 Pet Club TV,https://www.litv.tv/channel/watch/4gtv-4gtv110
162 客家電視台,https://www.litv.tv/channel/watch/4gtv-4gtv043
163 金光布袋戲台,https://www.litv.tv/channel/watch/litv-vchannel163
164 Focus探索新知台,https://www.litv.tv/channel/watch/litv-vchannel164
165 相聲瓦舍,https://www.litv.tv/channel/watch/litv-vchannel165
166 市井豪門,https://www.litv.tv/channel/watch/litv-vchannel166
167 白髮,https://www.litv.tv/channel/watch/litv-vchannel167
168 我的婆婆怎麼那麼可愛,https://www.litv.tv/channel/watch/litv-vchannel168
169 長安十二時辰,https://www.litv.tv/channel/watch/litv-vchannel169
170 深情眼,https://www.litv.tv/channel/watch/litv-vchannel170
171 一把青,https://www.litv.tv/channel/watch/litv-vchannel171
172 以家人之名,https://www.litv.tv/channel/watch/litv-vchannel172
173 180天重啟計劃,https://www.litv.tv/channel/watch/litv-vchannel173
174 俗女養成記,https://www.litv.tv/channel/watch/litv-vchannel174
176 徐海莉 Hailey,https://www.litv.tv/channel/watch/litv-vchannel176
178 月曜1起玩,https://www.litv.tv/channel/watch/litv-vchannel178
179 麥卡貝網路電視,https://www.litv.tv/channel/watch/litv-vchannel179
180 電動車時代,https://www.litv.tv/channel/watch/litv-vchannel180
181 SiCAR愛車酷,https://www.litv.tv/channel/watch/litv-vchannel181
182 Auto-Online 汽車線上情報誌,https://www.litv.tv/channel/watch/litv-vchannel182
183 統哥 嗜駕Pit63,https://www.litv.tv/channel/watch/litv-vchannel183
184 CARLINK鏈車網,https://www.litv.tv/channel/watch/litv-vchannel184
185 狂人日誌,https://www.litv.tv/channel/watch/litv-vchannel185
186 Super Snow Show,https://www.litv.tv/channel/watch/litv-vchannel186
187 DR. IF fACTORY 硬核車媒,https://www.litv.tv/channel/watch/litv-vchannel187
188 玩車大麥克,https://www.litv.tv/channel/watch/litv-vchannel188
189 夢想街57號 預約你的夢想,https://www.litv.tv/channel/watch/litv-vchannel189
190 脖子解說 Mr. Neck,https://www.litv.tv/channel/watch/litv-vchannel190
192 倪珍播新聞,https://www.litv.tv/channel/watch/nnews-zh
194 DayStar,https://www.litv.tv/channel/watch/daystar
196 第1商業台,https://www.litv.tv/channel/watch/4gtv-4gtv104
197 國會頻道1台,https://www.litv.tv/channel/watch/4gtv-4gtv084
198 國會頻道2台,https://www.litv.tv/channel/watch/4gtv-4gtv085
199 My Cinema Europe HD 我的歐洲電影,https://www.litv.tv/channel/watch/litv-ftv10
200 蠟筆小新劇場版,https://www.litv.tv/channel/watch/litv-vchannel200
201 劉德華台,https://www.litv.tv/channel/watch/litv-vchannel201
204 周星馳台,https://www.litv.tv/channel/watch/litv-vchannel998
205 香港天王台,https://www.litv.tv/channel/watch/litv-vchannel205
208 報告班長台,https://www.litv.tv/channel/watch/litv-vchannel208
210 全民星攻略 知識開箱,https://www.litv.tv/channel/watch/litv-vchannel210
212 饕客揪愛吃,https://www.litv.tv/channel/watch/litv-vchannel212
213 放鬆的爵士午後,https://www.litv.tv/channel/watch/litv-vchannel213
214 Freeman @台灣,https://www.litv.tv/channel/watch/litv-vchannel214
216 ASMR行車紀錄,https://www.litv.tv/channel/watch/litv-vchannel216
217 地球檔案庫,https://www.litv.tv/channel/watch/litv-vchannel217
220 TRACE Sport Stars,https://www.litv.tv/channel/watch/4gtv-4gtv077
221 智林體育台,https://www.litv.tv/channel/watch/4gtv-4gtv101
222 時尚運動X,https://www.litv.tv/channel/watch/4gtv-4gtv014
223 GINX Esports TV,https://www.litv.tv/channel/watch/4gtv-4gtv053
227 TRACE Urban,https://www.litv.tv/channel/watch/4gtv-4gtv082
228 Mezzo Live HD,https://www.litv.tv/channel/watch/4gtv-4gtv083
229 CLASSICA 古典樂,https://www.litv.tv/channel/watch/4gtv-4gtv059
230 ARIRANG阿里郎頻道,https://www.litv.tv/channel/watch/4gtv-4gtv079
232 韓國娛樂台 KMTV,https://www.litv.tv/channel/watch/4gtv-4gtv016
239 毛茸茸親子台,https://www.litv.tv/channel/watch/litv-vchannel239
240 達文西頻道,https://www.litv.tv/channel/watch/4gtv-4gtv018
241 ELTV生活英語台,https://www.litv.tv/channel/watch/litv-xinchuang20
242 靖洋卡通Nice Bingo,https://www.litv.tv/channel/watch/4gtv-4gtv057
243 靖天卡通台,https://www.litv.tv/channel/watch/4gtv-4gtv044
244 龍華卡通台,https://www.litv.tv/channel/watch/litv-xinchuang01
245 東森兒童台,https://www.litv.tv/channel/watch/litv-vchannel245
246 FOCUS快樂兒童台,https://www.litv.tv/channel/watch/litv-playout246
247 卡通明星台,https://www.litv.tv/channel/watch/litv-vchannel247
248 動畫電影台,https://www.litv.tv/channel/watch/litv-vchannel248
249 萌學園,https://www.litv.tv/channel/watch/litv-vchannel249
250 YOYO點點名,https://www.litv.tv/channel/watch/litv-vchannel250
251 天才麵包理髮師,https://www.litv.tv/channel/watch/litv-vchannel251
252 寶寶巴士,https://www.litv.tv/channel/watch/litv-vchannel252
254 HELLO CARBOT衝鋒戰士,https://www.litv.tv/channel/watch/litv-vchannel254
255 HELLO CARBOT衝鋒戰士 二台,https://www.litv.tv/channel/watch/litv-vchannel255
256 新忍者哈特利,https://www.litv.tv/channel/watch/litv-vchannel256
257 跳跳小雞,https://www.litv.tv/channel/watch/litv-vchannel257
258 超人力霸王台,https://www.litv.tv/channel/watch/litv-vchannel258
259 Super Wings (S1~S3),https://www.litv.tv/channel/watch/litv-vchannel259
264 湯姆貓與傑利鼠,https://www.litv.tv/channel/watch/litv-vchannel264
265 頑皮豹,https://www.litv.tv/channel/watch/litv-vchannel265
268 神奇故事屋《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel268
275 真珠美人魚(中文版),https://www.litv.tv/channel/watch/litv-vchannel275
276 科學小飛俠,https://www.litv.tv/channel/watch/litv-vchannel276
280 獵人(國),https://www.litv.tv/channel/watch/litv-vchannel280
281 惡魔奶爸(中文版),https://www.litv.tv/channel/watch/litv-vchannel281
282 新蠟筆小新(1~3季),https://www.litv.tv/channel/watch/litv-vchannel282
283 鬼滅之刃(國),https://www.litv.tv/channel/watch/litv-vchannel283
284 轉生為第七王子，隨心所欲的魔法學習之路,https://www.litv.tv/channel/watch/litv-vchannel284
285 葬送的芙莉蓮,https://www.litv.tv/channel/watch/litv-vchannel285
286 中華一番(國),https://www.litv.tv/channel/watch/litv-vchannel286
287 SPY X FAMILY 間諜家家酒(中文版),https://www.litv.tv/channel/watch/litv-vchannel287
288 關於我轉生變成史萊姆這檔事(國),https://www.litv.tv/channel/watch/litv-vchannel288
289 膽大黨,https://www.litv.tv/channel/watch/litv-vchannel289
291 新蠟筆小新(4~6季),https://www.litv.tv/channel/watch/litv-vchannel291
292 第一神拳,https://www.litv.tv/channel/watch/litv-vchannel292
294 擁有超常技能的異世界流浪美食家,https://www.litv.tv/channel/watch/litv-vchannel294
295 刀劍神域(國),https://www.litv.tv/channel/watch/litv-vchannel295
296 城市獵人,https://www.litv.tv/channel/watch/litv-vchannel296
297 凡爾賽玫瑰《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel297
298 離開A級隊伍的我，和從前的弟子往迷宮深處邁進《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel298
299 WIND BREAKER—防風少年—,https://www.litv.tv/channel/watch/litv-vchannel299
321 超級同學會,https://www.litv.tv/channel/watch/litv-vchannel321
340 社會NOW什麼,https://www.litv.tv/channel/watch/litv-vchannel340
355 百變智多星,https://www.litv.tv/channel/watch/litv-vchannel355
356 金頭腦,https://www.litv.tv/channel/watch/litv-vchannel356
357 超級好神,https://www.litv.tv/channel/watch/litv-vchannel357
358 天才答不答,https://www.litv.tv/channel/watch/litv-vchannel358
360 一次搞定,https://www.litv.tv/channel/watch/litv-vchannel360
361 我愛大小姐,https://www.litv.tv/channel/watch/litv-vchannel361
363 醫師好辣 精選,https://www.litv.tv/channel/watch/litv-vchannel363
364 名模出任務,https://www.litv.tv/channel/watch/litv-vchannel364
365 科學再發現,https://www.litv.tv/channel/watch/litv-vchannel365
366 健康問良醫,https://www.litv.tv/channel/watch/litv-vchannel366
367 醫學大聯盟,https://www.litv.tv/channel/watch/litv-vchannel367
373 家庭８點檔轉轉發現愛,https://www.litv.tv/channel/watch/litv-vchannel373
374 真情部落格,https://www.litv.tv/channel/watch/litv-vchannel374
376 愛+好醫生,https://www.litv.tv/channel/watch/litv-vchannel376
377 真情部落格(名人篇),https://www.litv.tv/channel/watch/litv-vchannel377
380 鬼話連篇,https://www.litv.tv/channel/watch/litv-vchannel380
401 大胃王來了！,https://www.litv.tv/channel/watch/litv-vchannel401
402 白種元的巷弄食堂《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel402
403 33廚房,https://www.litv.tv/channel/watch/litv-vchannel403
404 台灣第一等,https://www.litv.tv/channel/watch/litv-vchannel404
405 我的非洲很有事,https://www.litv.tv/channel/watch/litv-vchannel405
406 東森旅遊玩樂誌,https://www.litv.tv/channel/watch/litv-vchannel406
407 非凡大探索,https://www.litv.tv/channel/watch/litv-vchannel407
408 早餐中國,https://www.litv.tv/channel/watch/litv-vchannel408
409 秘境不思溢,https://www.litv.tv/channel/watch/litv-vchannel409
410 咱的城 咱的市 咱台灣的味,https://www.litv.tv/channel/watch/litv-vchannel410
411 台灣真善美,https://www.litv.tv/channel/watch/litv-vchannel411
412 台灣壹百種味道,https://www.litv.tv/channel/watch/litv-vchannel412
413 台灣部落尋奇,https://www.litv.tv/channel/watch/litv-vchannel413
414 溢起趣打卡,https://www.litv.tv/channel/watch/litv-vchannel414
416 驚奇大冒險,https://www.litv.tv/channel/watch/litv-vchannel416
417 請問今晚住誰家,https://www.litv.tv/channel/watch/litv-vchannel417
422 舒夢蘭聚焦世界全紀錄,https://www.litv.tv/channel/watch/litv-vchannel422
424 健康新煮流,https://www.litv.tv/channel/watch/litv-vchannel424
425 舌尖之福,https://www.litv.tv/channel/watch/litv-vchannel425
426 美味SO MUCH,https://www.litv.tv/channel/watch/litv-vchannel426
430 中國美食大探索,https://www.litv.tv/channel/watch/litv-vchannel430
431 中國旅遊大探索,https://www.litv.tv/channel/watch/litv-vchannel431
500 國色芳華,https://www.litv.tv/channel/watch/litv-vchannel500
501 錦繡芳華,https://www.litv.tv/channel/watch/litv-vchannel501
502 安樂傳,https://www.litv.tv/channel/watch/litv-vchannel502
503 大唐榮耀,https://www.litv.tv/channel/watch/litv-vchannel503
505 楚喬傳,https://www.litv.tv/channel/watch/litv-vchannel505
508 琉璃,https://www.litv.tv/channel/watch/litv-vchannel508
509 贅婿,https://www.litv.tv/channel/watch/litv-vchannel509
511 鳳囚凰,https://www.litv.tv/channel/watch/litv-vchannel511
512 陸貞傳奇,https://www.litv.tv/channel/watch/litv-vchannel512
513 錦繡安寧,https://www.litv.tv/channel/watch/litv-vchannel513
514 錦衣之下,https://www.litv.tv/channel/watch/litv-vchannel514
515 錦衣夜行,https://www.litv.tv/channel/watch/litv-vchannel515
519 忽必烈傳奇,https://www.litv.tv/channel/watch/litv-vchannel519
520 朱元璋,https://www.litv.tv/channel/watch/litv-vchannel520
521 大秦賦(大秦帝國之天下),https://www.litv.tv/channel/watch/litv-vchannel521
522 大漢天子,https://www.litv.tv/channel/watch/litv-vchannel522
523 大漢天子2,https://www.litv.tv/channel/watch/litv-vchannel523
525 劉海砍樵,https://www.litv.tv/channel/watch/litv-vchannel525
526 青川入夢,https://www.litv.tv/channel/watch/litv-vchannel526
527 射鵰英雄傳(胡歌版),https://www.litv.tv/channel/watch/litv-vchannel527
533 春來定風波,https://www.litv.tv/channel/watch/litv-vchannel533
534 新龍門客棧,https://www.litv.tv/channel/watch/litv-vchannel534
535 軍師聯盟,https://www.litv.tv/channel/watch/litv-vchannel535
536 軍師聯盟2 虎嘯龍吟,https://www.litv.tv/channel/watch/litv-vchannel536
538 落花時節又逢君,https://www.litv.tv/channel/watch/litv-vchannel538
543 步步驚心,https://www.litv.tv/channel/watch/litv-vchannel543
556 烏蒙深處,https://www.litv.tv/channel/watch/litv-vchannel556
558 一念向北,https://www.litv.tv/channel/watch/litv-vchannel558
559 虎媽貓爸,https://www.litv.tv/channel/watch/litv-vchannel559
560 私藏浪漫,https://www.litv.tv/channel/watch/litv-vchannel560
561 奔跑吧，醫生《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel561
562 燦爛的風和海,https://www.litv.tv/channel/watch/litv-vchannel562
563 向風而行,https://www.litv.tv/channel/watch/litv-vchannel563
565 做自己的光《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel565
566 我的前半生,https://www.litv.tv/channel/watch/litv-vchannel566
567 我的後半生,https://www.litv.tv/channel/watch/litv-vchannel567
568 小丈夫,https://www.litv.tv/channel/watch/litv-vchannel568
569 愛在離婚進行時,https://www.litv.tv/channel/watch/litv-vchannel569
570 無與倫比的美麗,https://www.litv.tv/channel/watch/litv-vchannel570
571 一場遇見愛情的旅行,https://www.litv.tv/channel/watch/litv-vchannel571
572 好好說話,https://www.litv.tv/channel/watch/litv-vchannel572
580 照鏡辭,https://www.litv.tv/channel/watch/litv-vchannel580
581 海昏行《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel581
590 她的盛宴,https://www.litv.tv/channel/watch/litv-vchannel590
591 繭成蝶《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel591
600 我把社長解鎖了,https://www.litv.tv/channel/watch/litv-vchannel600
601 白雪公主非死不可,https://www.litv.tv/channel/watch/litv-vchannel601
602 完美的家族《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel602
603 粉紅色口紅,https://www.litv.tv/channel/watch/litv-vchannel603
604 燦爛的遺產,https://www.litv.tv/channel/watch/litv-vchannel604
605 奔跑吧薔薇,https://www.litv.tv/channel/watch/litv-vchannel605
606 當你沉睡時,https://www.litv.tv/channel/watch/litv-vchannel606
607 回到20歲,https://www.litv.tv/channel/watch/litv-vchannel607
608 金裝律師,https://www.litv.tv/channel/watch/litv-vchannel608
609 真愛On Air,https://www.litv.tv/channel/watch/litv-vchannel609
610 愛情是Beautiful，人生是Wonderful,https://www.litv.tv/channel/watch/litv-vchannel610
611 聖水洞之吻,https://www.litv.tv/channel/watch/litv-vchannel611
612 監獄醫生,https://www.litv.tv/channel/watch/litv-vchannel612
613 壞記憶橡皮擦,https://www.litv.tv/channel/watch/litv-vchannel613
614 Remember 兒子的戰爭,https://www.litv.tv/channel/watch/litv-vchannel614
615 絕妙的遺產(國語配音),https://www.litv.tv/channel/watch/litv-vchannel615
616 善德女王(國語配音),https://www.litv.tv/channel/watch/litv-vchannel616
617 人偶之家(國語配音),https://www.litv.tv/channel/watch/litv-vchannel617
620 被告人,https://www.litv.tv/channel/watch/litv-vchannel620
621 紅天機,https://www.litv.tv/channel/watch/litv-vchannel621
622 不像三兄弟,https://www.litv.tv/channel/watch/litv-vchannel622
623 我的野蠻王妃,https://www.litv.tv/channel/watch/litv-vchannel623
624 凌晨兩點的灰姑娘,https://www.litv.tv/channel/watch/litv-vchannel624
625 依法相愛吧,https://www.litv.tv/channel/watch/litv-vchannel625
680 美麗戰場(國語配音),https://www.litv.tv/channel/watch/litv-vchannel680
681 白色強人(國語配音),https://www.litv.tv/channel/watch/litv-vchannel681
701 歡迎光臨 二代咖啡,https://www.litv.tv/channel/watch/litv-vchannel701
705 新兵日記之特戰英雄,https://www.litv.tv/channel/watch/litv-vchannel705
706 新兵日記,https://www.litv.tv/channel/watch/litv-vchannel706
709 換換愛,https://www.litv.tv/channel/watch/litv-vchannel709
714 這裡發現愛《2/5即將下架》,https://www.litv.tv/channel/watch/litv-vchannel714
719 日正當中,https://www.litv.tv/channel/watch/litv-vchannel719
720 台灣怪談,https://www.litv.tv/channel/watch/litv-vchannel720
721 台灣靈異事件,https://www.litv.tv/channel/watch/litv-vchannel721
722 藍色水玲瓏,https://www.litv.tv/channel/watch/litv-vchannel722
723 第一世家,https://www.litv.tv/channel/watch/litv-vchannel723
725 苦力,https://www.litv.tv/channel/watch/litv-vchannel725
726 茶金,https://www.litv.tv/channel/watch/litv-vchannel726
727 麻醉風暴,https://www.litv.tv/channel/watch/litv-vchannel727
732 村裡來了個暴走女外科,https://www.litv.tv/channel/watch/litv-vchannel732
743 廉政英雄,https://www.litv.tv/channel/watch/litv-vchannel743
764 春天後母心,https://www.litv.tv/channel/watch/litv-vchannel764
765 春天父母心,https://www.litv.tv/channel/watch/litv-vchannel765
766 飛龍在天,https://www.litv.tv/channel/watch/litv-vchannel766
800 獨活女子的守則,https://www.litv.tv/channel/watch/litv-vchannel800
801 晚餐藍調,https://www.litv.tv/channel/watch/litv-vchannel801
803 下山吃飯,https://www.litv.tv/channel/watch/litv-vchannel803
804 老公怎麼還不去死,https://www.litv.tv/channel/watch/litv-vchannel804
805 禁果-那個不能XX的世界,https://www.litv.tv/channel/watch/litv-vchannel805
806 和帥哥一起吃飯,https://www.litv.tv/channel/watch/litv-vchannel806
900 好消息2台,https://www.litv.tv/channel/watch/litv-ftv17
901 天堂敬拜,https://www.litv.tv/channel/watch/litv-vchannel901
902 經典音樂河,https://www.litv.tv/channel/watch/litv-vchannel902
903 心靈音樂會,https://www.litv.tv/channel/watch/litv-vchannel903
904 大衛鮑森講座,https://www.litv.tv/channel/watch/litv-vchannel904
910 大衛鮑森新約縱覽,https://www.litv.tv/channel/watch/litv-vchannel910
